ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,1613385,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649330,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613384,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649331,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745263,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652983,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745265,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613388,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650324,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650326,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637349,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662314,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1757240,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1757241,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664973,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625366,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664974,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1831708,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625368,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625369,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649327,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650316,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650318,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818717,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649326,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591499,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613392,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649323,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1640990,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613393,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664981,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652971,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760883,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591496,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613395,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745252,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591497,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650310,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652973,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745255,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591498,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613397,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652972,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745254,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591491,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650312,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650313,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652974,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745256,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591493,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637358,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662325,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625370,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625371,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637352,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1640993,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637351,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637350,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1640991,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1640992,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664986,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649329,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733288,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733289,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818704,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1843704,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1843703,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818705,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1843700,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760871,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760870,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760875,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760874,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664959,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1806713,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625381,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1806712,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625385,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664950,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637360,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733252,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759884,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664953,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664954,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818707,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649349,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760869,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1843715,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649348,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649340,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650335,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652999,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652998,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662305,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664968,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664969,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637377,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625394,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637376,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1625395,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637375,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759872,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637373,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664961,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759871,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637372,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664962,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759874,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664963,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664964,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759876,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1733269,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664966,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1757215,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759878,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664967,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759869,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760856,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818766,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1676996,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760859,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591462,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818762,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578494,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591463,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1686321,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1816101,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650369,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818760,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591461,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637389,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637388,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637387,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637385,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637384,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637383,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759863,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637382,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759862,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637381,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637380,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1757203,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759866,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760845,SYSTEM.TXT,1.00000,1.00000,1.00000,1
